name,englishName,year,cinima,playTime,endTime
花为媒,Rose as a Go-between,1963,小西天(2),2023-07-25 18:30:00,2023-07-25 20:22:00
雄狮少年,I Am What I Am,2021,小西天,2023-07-25 19:00:00,2023-07-25 20:44:00
羞辱,The Insult,2017,小西天(2),2023-07-26 18:30:00,2023-07-26 20:22:00
天字第一号,Spy Number One,1946,小西天,2023-07-26 19:00:00,2023-07-26 20:27:00
哈尔滨之夜,A Night In Harbin,1948,百子湾,2023-07-26 19:00:00,2023-07-26 20:40:00
珍珠,Ms. Pearl,2020,小西天(2),2023-07-27 18:30:00,2023-07-27 20:08:00
偶然与想象,Wheel of Fortune and Fantasy,2021,小西天,2023-07-27 19:00:00,2023-07-27 21:01:00
神秘的旅伴,Mysterious Companions,1955,小西天(2),2023-07-28 18:30:00,2023-07-28 19:57:00
她,Elle,2016,百子湾,2023-07-28 19:00:00,2023-07-28 21:10:00
家乡的消息,News from Home,1977,小西天,2023-07-28 19:00:00,2023-07-28 20:29:00
蒙特利旅馆,Hotel Monterey,1972,小西天,2023-07-29 11:00:00,2023-07-29 12:02:00
安娜的旅程,The Meetings of Anna,1978,小西天,2023-07-29 13:00:00,2023-07-29 15:07:00
岁月自珍,Plan 75,2022,百子湾,2023-07-29 13:30:00,2023-07-29 15:22:00
告诉我,Tell me,1980,小西天,2023-07-29 15:45:00,2023-07-29 16:31:00
汉娜·阿伦特,Hannah Arendt,2012,百子湾,2023-07-29 16:00:00,2023-07-29 17:53:00
海鸥食堂,Kamome Diner,2006,百子湾,2023-07-29 18:30:00,2023-07-29 20:12:00
让娜·迪尔曼,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",1975,小西天,2023-07-29 18:30:00,2023-07-29 21:51:00
提行李箱的人+洋槐旅馆,The Man with the Suitcase+Hôtel des Acacias,1982,小西天,2023-07-30 11:00:00,2023-07-30 12:41:00
长夜绵绵,A Whole Night,1982,小西天,2023-07-30 13:30:00,2023-07-30 14:56:00
水与糖：摄影家卡洛·迪·帕尔马的生活与色,"Water and Sugar: Carlo Di Palma, the Colours of Life",2016,百子湾,2023-07-30 13:30:00,2023-07-30 15:00:00
奇遇,The Adventure,1960,百子湾,2023-07-30 15:30:00,2023-07-30 17:48:00
八十年代,The Eighties,1983,小西天,2023-07-30 15:40:00,2023-07-30 16:57:00
金色80年代,Golden Eighties,1986,小西天,2023-07-30 18:00:00,2023-07-30 19:37:00
红色沙漠,Red Desert,1964,百子湾,2023-07-30 18:30:00,2023-07-30 20:27:00
