name,englishName,year,cinima,playTime,endTime
青木瓜之味,The Scent of Green Papaya,1993,小西天,2024-03-09 16:45:00,2024-03-09 18:24:00
沙滩上的宝莲,Pauline at the Beach,1983,百子湾,2024-03-09 18:00:00,2024-03-09 19:34:00
法式火锅,The Taste of Things,2023,小西天,2024-03-09 19:10:00,2024-03-09 21:24:00
路边野餐,Kaili Blues,2015,小西天,2024-03-10 10:30:00,2024-03-10 12:20:00
乡愁,Nostalghia,1983,小西天,2024-03-10 13:00:00,2024-03-10 15:06:00
圆月映花都,Full Moon in Paris,1984,百子湾,2024-03-10 13:30:00,2024-03-10 15:11:00
绿光,The Green Ray,1986,百子湾,2024-03-10 15:45:00,2024-03-10 17:23:00
鲸鱼马戏团,Werckmeister Harmonies,2000,小西天,2024-03-10 15:45:00,2024-03-10 18:11:00
女友的男友,My Girlfriend's Boyfriend,1987,百子湾,2024-03-10 18:00:00,2024-03-10 19:43:00
都灵之马,The Turin Horse,2011,小西天,2024-03-10 19:10:00,2024-03-10 21:44:00
特写,Close-Up,1990,小西天,2024-03-12 19:00:00,2024-03-12 20:38:00
一年之计,"Year In, Year Out",1955,百子湾,2024-03-13 19:00:00,2024-03-13 20:43:00
夜店,Ye dian / Night Inn / 夜店（2K）,1947,小西天,2024-03-13 19:00:00,2024-03-13 20:52:00
世界的阿菊,Okiku and the World,2023,小西天,2024-03-14 19:00:00,2024-03-14 20:30:00
亲爱的格洛莉亚,Ama Gloria,2023,小西天,2024-03-15 19:00:00,2024-03-15 20:24:00
兔子暴力,The Old Town Girls,2020,百子湾,2024-03-15 19:00:00,2024-03-15 20:46:00
亚历山大·麦昆：浮生如秀,McQueen,2018,小西天,2024-03-16 11:00:00,2024-03-16 12:50:00
摆动,Unrest,2022,小西天,2024-03-16 13:30:00,2024-03-16 15:03:00
海街日记,Our Little Sister,2015,百子湾,2024-03-16 13:30:00,2024-03-16 15:37:00
北斗七星,The Plough,2023,小西天,2024-03-16 15:45:00,2024-03-16 17:21:00
稍微想起一些,Just Remembering,2023,百子湾,2024-03-16 16:10:00,2024-03-16 18:05:00
我的罪行,The Crime Is Mine,2023,小西天,2024-03-16 18:00:00,2024-03-16 19:42:00
她,Elle,2016,百子湾,2024-03-16 18:30:00,2024-03-16 20:40:00
风之王国,Sirocco and the Kingdom of the Winds,2023,小西天,2024-03-17 11:00:00,2024-03-17 12:21:00
法老，野人与公主,"The Black Pharaoh, the Savage and the Princess",2022,小西天,2024-03-17 13:00:00,2024-03-17 14:22:00
一年到头,The End of Year,2008,百子湾,2024-03-17 13:30:00,2024-03-17 15:10:00
猎鹰湖,Falcon Lake,2022,小西天,2024-03-17 15:15:00,2024-03-17 16:56:00
我是植物人,Vegetate,2010,百子湾,2024-03-17 15:40:00,2024-03-17 17:18:00
万箭穿心,Feng Shui,2012,百子湾,2024-03-17 17:40:00,2024-03-17 19:38:00
另一个劳伦斯,The Other Laurens,2023,小西天,2024-03-17 17:45:00,2024-03-17 19:44:00
三只猴子,Three Monkeys,2008,小西天,2024-03-19 19:00:00,2024-03-19 20:46:00
大团圆,The Great Reunion,1948,小西天,2024-03-20 19:00:00,2024-03-20 20:32:00
江湖儿女,Sons of the Earth,1952,百子湾,2024-03-20 19:00:00,2024-03-20 20:34:00
飞行员的妻子,The Aviator's Wife,1981,小西天,2024-03-21 19:00:00,2024-03-21 20:46:00
南法撩妹记,All Hands on Deck,2020,百子湾,2024-03-22 19:00:00,2024-03-22 20:35:00
好姻缘,A Good Marriage,1982,小西天,2024-03-22 19:00:00,2024-03-22 20:37:00
沙滩上的宝莲,Pauline at the Beach,1983,小西天,2024-03-23 11:00:00,2024-03-23 12:34:00
圆月映花都,Full Moon in Paris,1984,小西天,2024-03-23 13:30:00,2024-03-23 15:11:00
塔洛,Tharlo,2015,百子湾,2024-03-23 13:30:00,2024-03-23 15:33:00
亲爱的格洛莉亚,Ama Gloria,2023,小西天(2),2024-03-23 14:00:00,2024-03-23 15:24:00
下一站，天国,After Life,1998,小西天,2024-03-23 16:00:00,2024-03-23 17:59:00
被嫌弃的松子的一生,Memories of Matsuko,2006,百子湾,2024-03-23 16:00:00,2024-03-23 18:10:00
另一个劳伦斯,The Other Laurens,2023,百子湾,2024-03-23 18:40:00,2024-03-23 20:39:00
独自在夜晚的海边,On the Beach at Night Alone,2017,小西天,2024-03-23 18:45:00,2024-03-23 20:25:00
绿光,The Green Ray,1986,小西天,2024-03-24 11:00:00,2024-03-24 12:38:00
女友的男友,My Girlfriend's Boyfriend,1987,小西天,2024-03-24 13:30:00,2024-03-24 15:13:00
妈妈！,Song of Spring,2022,百子湾,2024-03-24 13:30:00,2024-03-24 15:19:00
北斗七星,The Plough,2023,小西天(2),2024-03-24 14:00:00,2024-03-24 15:36:00
在公交车站直到黎明,No Place to Go,2022,百子湾,2024-03-24 16:00:00,2024-03-24 17:31:00
宇宙探索编辑部,Journey to the West,2023,小西天,2024-03-24 16:00:00,2024-03-24 17:58:00
风之王国,Sirocco and the Kingdom of the Winds,2023,百子湾,2024-03-24 18:00:00,2024-03-24 19:21:00
下一个素熙,Next Sohee,2022,小西天,2024-03-24 18:45:00,2024-03-24 20:59:00
百元之恋,100 Yen Love,2014,小西天,2024-03-26 19:00:00,2024-03-26 20:53:00
大团圆,The Great Reunion,1948,百子湾,2024-03-27 19:00:00,2024-03-27 20:32:00
江湖儿女,Sons of the Earth,1952,小西天,2024-03-27 19:00:00,2024-03-27 20:34:00
浪间,The Braves,2021,小西天,2024-03-28 19:00:00,2024-03-28 20:39:00
宣言,Manifesto,2015,百子湾,2024-03-29 19:00:00,2024-03-29 20:35:00
西比勒,Sibyl,2019,小西天,2024-03-29 19:00:00,2024-03-29 20:40:00
罗曼蒂克消亡史,The Wasted Times,2016,小西天,2024-03-30 10:30:00,2024-03-30 12:35:00
亲密,Close,2022,小西天,2024-03-30 13:20:00,2024-03-30 15:05:00
摆动,Unrest,2022,小西天(2),2024-03-30 13:30:00,2024-03-30 15:03:00
家在水草丰茂的地方,River Road,2014,百子湾,2024-03-30 13:30:00,2024-03-30 15:13:00
猎鹰湖,Falcon Lake,2022,小西天(2),2024-03-30 15:45:00,2024-03-30 17:26:00
这里是亚美子,Amiko,2022,百子湾,2024-03-30 15:45:00,2024-03-30 17:29:00
鲸鱼马戏团,Werckmeister Harmonies,2000,小西天,2024-03-30 16:00:00,2024-03-30 18:26:00
驾驶我的车,Drive My Car,2021,百子湾,2024-03-30 18:00:00,2024-03-30 20:59:00
都灵之马,The Turin Horse,2011,小西天,2024-03-30 19:10:00,2024-03-30 21:44:00
82年生的金智英,"Kim Ji-young, Born 1982",2019,小西天,2024-03-31 10:30:00,2024-03-31 12:28:00
法式火锅,The Taste of Things,2023,小西天,2024-03-31 13:10:00,2024-03-31 15:24:00
神女,The Goddess,1934,百子湾,2024-03-31 13:30:00,2024-03-31 14:52:00
法老，野人与公主,"The Black Pharaoh, the Savage and the Princess",2022,小西天(2),2024-03-31 13:30:00,2024-03-31 14:52:00
图腾,Totem,2023,百子湾,2024-03-31 15:30:00,2024-03-31 17:05:00
我的罪行,The Crime Is Mine,2023,小西天(2),2024-03-31 15:45:00,2024-03-31 17:27:00
伦敦生活,National Theatre Live: Fleabag,2019,小西天,2024-03-31 16:15:00,2024-03-31 18:02:00
世界的阿菊,Okiku and the World,2023,百子湾,2024-03-31 17:30:00,2024-03-31 19:00:00
黄金时代,The Golden Era,2014,小西天,2024-03-31 18:45:00,2024-03-31 21:44:00
