name,englishName,year,cinima,playTime,endTime
天使爱美丽,Amelie,2001,小西天,2024-01-27 18:00:00,2024-01-27 20:01:00
绿光,The Green Ray,1986,百子湾,2024-01-27 18:30:00,2024-01-27 20:08:00
乐满哈瓦那,Buena Vista Social Club,1999,小西天,2024-01-28 10:30:00,2024-01-28 12:11:00
转转,Adrift in Tokyo,2007,小西天,2024-01-28 13:00:00,2024-01-28 14:41:00
长江图,Crosscurrent,2016,百子湾,2024-01-28 13:30:00,2024-01-28 15:25:00
音魂掠影,Ennio,2021,小西天,2024-01-28 15:30:00,2024-01-28 18:06:00
惠子，凝视,"Small, Slow but Steady",2022,百子湾,2024-01-28 16:00:00,2024-01-28 17:39:00
百元之恋,100 Yen Love,2014,百子湾,2024-01-28 18:10:00,2024-01-28 20:03:00
定理,Theorem,1968,小西天,2024-01-28 19:00:00,2024-01-28 20:38:00
春节大联欢,The Spring Festival Gala,1956,小西天(2),2024-01-30 18:30:00,2024-01-30 19:54:00
气球,Balloon,2019,小西天,2024-01-30 19:00:00,2024-01-30 20:42:00
坂本龙一：终曲,Ryuichi Sakamoto: CODA,2017,小西天(2),2024-01-31 18:30:00,2024-01-31 20:10:00
冰山上的来客,Visitors on the Icy Mountain,1963,小西天,2024-01-31 19:00:00,2024-01-31 20:46:00
英雄儿女,Yingxiong ernü / Heroic Sons And Daughters / 英雄兒女 / 英雄兒女（2K）,1964,百子湾,2024-01-31 19:00:00,2024-01-31 20:53:00
